#--------------------------------------------------
# info: beam
# columns: channel, slope, intercept
#--------------------------------------------------
0,0.23,1.07
1,0.22,0.23
2,0.26,0.76
3,0.26,0.84
4,0.29,0.73
5,0.30,0.79
6,0.29,0.82
7,0.30,0.54
8,0.24,0.07
9,0.25,0.89
10,0.28,0.95
11,0.27,0.73
12,0.26,0.83
13,0.24,0.02
14,0.27,0.71
15,0.24,0.80
16,0.28,0.79
17,0.22,0.22
18,0.21,0.43
19,0.30,0.05
20,0.31,0.53
21,0.28,0.79
22,0.29,0.67
23,0.25,0.66
24,0.28,0.56
25,-0.50,1.95
26,-0.98,2.10
27,0.20,0.17
28,-0.21,2.23
29,0.25,0.85
30,0.26,1.26
31,-0.02,3.13
32,0.23,1.41
33,-0.04,1.59
34,-2.25,10.08
35,0.16,0.94
36,0.19,0.93
37,2.00,0.00
38,0.92,-0.10
39,-0.02,1.45
40,-0.02,1.28
41,-0.01,1.19
42,-0.02,0.59
43,0.01,1.12
44,-0.03,1.22
45,-0.02,1.46
46,-0.04,1.45
47,0.14,0.52
48,-0.01,1.01
49,-0.04,1.62
50,-0.01,0.84
51,-0.02,0.92
52,-0.13,1.07
53,0.04,1.20
54,0.00,1.15
55,0.00,1.12
56,0.12,0.38
57,0.12,0.33
58,0.06,0.66
59,0.00,1.24
60,0.01,0.99
61,0.00,1.32
62,-0.01,0.89
63,-0.01,0.77
64,-0.01,0.68
65,-0.11,0.77
66,0.11,0.64
67,-0.01,0.74
68,0.01,1.08
69,0.03,0.92
70,0.00,-0.35
71,-0.02,1.77
72,-0.00,1.69
73,0.00,1.05
74,-0.10,1.07
75,0.11,0.53
76,2.00,0.00
77,1.01,0.19
78,0.44,0.63
79,0.48,0.57
80,0.42,0.52
81,0.46,0.75
82,0.49,0.64
83,0.54,0.51
84,0.36,0.78
85,0.41,0.28
86,0.12,0.75
87,0.39,0.90
88,0.51,0.35
89,0.37,0.60
90,0.37,0.51
91,0.38,0.44
92,0.38,0.53
93,0.39,0.40
94,0.45,0.89
95,0.12,0.65
96,0.15,1.16
97,0.33,0.43
98,0.34,0.44
99,0.28,0.37
100,0.04,1.39
101,0.46,0.44
102,0.17,1.10
103,0.29,0.39
104,0.31,1.51
105,0.14,0.99
106,0.30,0.51
107,0.31,0.91
108,0.31,0.68
109,0.31,0.67
110,0.31,0.64
111,0.31,1.44
112,0.29,0.67
113,0.30,-0.41
114,0.19,0.73
115,2.00,-0.00
116,0.92,-0.27
117,0.26,0.71
118,0.27,0.77
119,0.26,1.03
120,0.28,0.66
121,0.30,0.78
122,0.28,0.50
123,0.31,0.26
124,0.30,0.47
125,0.12,0.31
126,0.27,0.36
127,0.28,0.47
128,0.21,0.90
129,0.02,0.72
130,0.30,0.32
131,0.32,0.47
132,0.30,0.48
133,0.35,0.63
134,0.14,0.29
135,0.16,0.81
136,0.28,0.53
137,0.33,1.36
138,0.36,0.32
139,0.34,0.90
140,0.31,0.51
141,0.32,0.57
142,0.31,0.36
143,0.33,0.28
144,0.15,0.87
145,0.00,1.15
146,0.00,0.00
147,0.35,0.80
148,0.38,0.40
149,0.33,0.78
150,0.05,0.64
151,0.36,0.98
152,0.36,0.88
153,0.18,0.06
154,2.00,0.00
155,0.96,-0.07
156,0.27,0.13
157,0.28,0.56
158,0.30,0.13
159,0.28,0.44
160,0.29,-0.46
161,0.31,0.56
162,0.32,1.19
163,0.28,0.84
164,0.22,0.84
165,0.27,0.43
166,0.30,0.10
167,0.26,0.82
168,0.27,0.21
169,0.28,0.83
170,0.27,0.15
171,0.00,0.00
172,0.30,0.15
173,0.21,0.51
174,0.23,-0.07
175,0.30,0.75
176,0.26,0.25
177,0.26,-0.07
178,0.27,0.89
179,0.28,-0.16
180,0.26,0.70
181,0.30,0.48
182,0.28,0.09
183,0.18,0.30
184,0.25,0.11
185,0.29,0.78
186,0.26,1.04
187,0.30,1.03
188,0.25,-0.33
189,0.25,0.73
190,0.25,0.68
191,0.26,0.21
192,0.21,0.70
193,2.00,0.00
194,1.04,-0.55
195,0.33,0.88
196,0.26,0.69
197,0.34,0.41
198,0.39,0.46
199,0.41,0.84
200,0.44,0.78
201,0.44,0.59
202,0.42,0.90
203,0.16,0.19
204,0.34,0.49
205,0.38,0.57
206,0.41,0.44
207,0.42,0.11
208,0.43,0.35
209,0.42,0.24
210,0.42,0.68
211,0.47,0.02
212,0.12,0.19
213,0.15,0.89
214,0.40,0.73
215,0.48,0.34
216,0.49,0.46
217,0.45,0.22
218,0.43,0.40
219,0.42,0.68
220,0.44,0.24
221,0.48,0.29
222,0.15,0.09
223,0.53,0.27
224,0.51,0.73
225,0.53,0.60
226,0.59,0.29
227,0.54,0.21
228,0.47,0.75
229,0.51,0.69
230,0.53,0.12
231,0.24,0.73
232,2.00,0.00
233,1.02,-0.47
