#--------------------------------------------------
# info: beam
# columns: channel, slope, intercept, correlation
#--------------------------------------------------
0,0.23,1.07,0.11
1,0.22,0.23,0.19
2,0.26,0.76,0.18
3,0.26,0.84,0.19
4,0.29,0.73,0.21
5,0.30,0.79,0.20
6,0.29,0.82,0.19
7,0.30,0.54,0.22
8,0.24,0.07,0.22
9,0.25,0.89,0.20
10,0.28,0.95,0.16
11,0.27,0.73,0.20
12,0.26,0.83,0.20
13,0.24,0.02,0.11
14,0.27,0.71,0.15
15,0.24,0.80,0.14
16,0.28,0.79,0.17
17,0.22,0.22,0.20
18,0.21,0.43,0.20
19,0.30,0.05,0.22
20,0.31,0.53,0.18
21,0.28,0.79,0.18
22,0.29,0.67,0.05
23,0.25,0.66,0.08
24,0.28,0.56,0.15
25,-0.50,1.95,-0.03
26,-0.98,2.10,-0.05
27,0.20,0.17,0.20
28,-0.21,2.23,-0.02
29,0.25,0.85,0.08
30,0.26,1.26,0.10
31,-0.02,3.13,-0.00
32,0.23,1.41,0.05
33,-0.04,1.59,-0.00
34,-2.25,10.08,-0.06
35,0.16,0.94,0.02
36,0.19,0.93,0.07
37,1.08,0.10,0.82
38,0.92,-0.10,0.77
39,-0.02,1.45,-0.02
40,-0.02,1.28,-0.02
41,-0.01,1.19,-0.01
42,-0.02,0.59,-0.02
43,0.01,1.12,0.00
44,-0.03,1.22,-0.02
45,-0.02,1.46,-0.01
46,-0.04,1.45,-0.01
47,0.14,0.52,0.17
48,-0.01,1.01,-0.01
49,-0.04,1.62,-0.02
50,-0.01,0.84,-0.01
51,-0.02,0.92,-0.02
52,-0.13,1.07,-0.02
53,0.04,1.20,0.01
54,0.00,1.15,0.00
55,0.00,1.12,0.00
56,0.12,0.38,0.14
57,0.12,0.33,0.14
58,0.06,0.66,0.06
59,0.00,1.24,0.00
60,0.01,0.99,0.01
61,0.00,1.32,0.00
62,-0.01,0.89,-0.00
63,-0.01,0.77,-0.00
64,-0.01,0.68,-0.01
65,-0.11,0.77,-0.02
66,0.11,0.64,0.13
67,-0.01,0.74,-0.01
68,0.01,1.08,0.01
69,0.03,0.92,0.02
70,0.00,-0.35,0.00
71,-0.02,1.77,-0.02
72,-0.00,1.69,-0.00
73,0.00,1.05,0.00
74,-0.10,1.07,-0.02
75,0.11,0.53,0.11
76,0.99,-0.19,0.86
77,1.01,0.19,0.86
78,0.44,0.63,0.36
79,0.48,0.57,0.40
80,0.42,0.52,0.40
81,0.46,0.75,0.41
82,0.49,0.64,0.42
83,0.54,0.51,0.44
84,0.36,0.78,0.34
85,0.41,0.28,0.39
86,0.12,0.75,0.14
87,0.39,0.90,0.37
88,0.51,0.35,0.42
89,0.37,0.60,0.35
90,0.37,0.51,0.33
91,0.38,0.44,0.36
92,0.38,0.53,0.33
93,0.39,0.40,0.34
94,0.45,0.89,0.39
95,0.12,0.65,0.15
96,0.15,1.16,0.17
97,0.33,0.43,0.32
98,0.34,0.44,0.32
99,0.28,0.37,0.27
100,0.04,1.39,0.03
101,0.46,0.44,0.35
102,0.17,1.10,0.17
103,0.29,0.39,0.26
104,0.31,1.51,0.24
105,0.14,0.99,0.16
106,0.30,0.51,0.30
107,0.31,0.91,0.28
108,0.31,0.68,0.31
109,0.31,0.67,0.29
110,0.31,0.64,0.26
111,0.31,1.44,0.28
112,0.29,0.67,0.25
113,0.30,-0.41,0.27
114,0.19,0.73,0.21
115,1.08,0.27,0.87
116,0.92,-0.27,0.84
117,0.26,0.71,0.25
118,0.27,0.77,0.25
119,0.26,1.03,0.23
120,0.28,0.66,0.23
121,0.30,0.78,0.28
122,0.28,0.50,0.27
123,0.31,0.26,0.29
124,0.30,0.47,0.28
125,0.12,0.31,0.15
126,0.27,0.36,0.25
127,0.28,0.47,0.25
128,0.21,0.90,0.04
129,0.02,0.72,0.03
130,0.30,0.32,0.28
131,0.32,0.47,0.30
132,0.30,0.48,0.09
133,0.35,0.63,0.29
134,0.14,0.29,0.17
135,0.16,0.81,0.17
136,0.28,0.53,0.27
137,0.33,1.36,0.29
138,0.36,0.32,0.31
139,0.34,0.90,0.25
140,0.31,0.51,0.27
141,0.32,0.57,0.29
142,0.31,0.36,0.23
143,0.33,0.28,0.30
144,0.15,0.87,0.18
145,0.00,1.15,0.00
146,0.00,0.00,0.00
147,0.35,0.80,0.31
148,0.38,0.40,0.32
149,0.33,0.78,0.29
150,0.05,0.64,0.05
151,0.36,0.98,0.23
152,0.36,0.88,0.30
153,0.18,0.06,0.21
154,1.04,0.07,0.86
155,0.96,-0.07,0.84
156,0.27,0.13,0.19
157,0.28,0.56,0.17
158,0.30,0.13,0.20
159,0.28,0.44,0.18
160,0.29,-0.46,0.24
161,0.31,0.56,0.07
