#--------------------------------------------------
# info: pedestal
# columns: channel, pedestal
#--------------------------------------------------
0,87.95
1,87.45
2,87.01
3,84.50
4,86.62
5,88.59
6,86.17
7,87.29
8,89.85
9,83.96
10,87.48
11,85.33
12,88.41
13,88.49
14,86.39
15,85.92
16,87.45
17,88.04
18,89.53
19,87.99
20,86.82
21,85.27
22,89.90
23,87.48
24,88.15
25,86.73
26,88.37
27,89.11
28,87.07
29,89.00
30,88.94
31,88.72
32,86.02
33,87.67
34,87.12
35,87.24
36,87.85
37,85.96
38,88.28
39,83.08
40,80.54
41,84.69
42,81.63
43,83.41
44,84.78
45,84.56
46,81.96
47,82.45
48,80.95
49,83.48
50,85.09
51,81.95
52,83.89
53,83.02
54,86.06
55,82.88
56,84.21
57,84.23
58,84.31
59,83.12
60,85.75
61,84.98
62,83.53
63,83.38
64,83.90
65,84.62
66,85.93
67,82.21
68,87.16
69,86.45
70,84.59
71,86.05
72,92.72
73,82.07
74,84.68
75,83.39
76,87.38
77,83.27
78,86.57
79,89.19
80,88.36
81,89.84
82,88.81
83,103.03
84,88.36
85,88.15
86,89.66
87,90.09
88,90.58
89,90.32
90,86.69
91,89.43
92,88.88
93,89.76
94,89.19
95,88.47
96,89.57
97,89.74
98,89.00
99,90.31
100,91.94
101,87.57
102,85.38
103,89.34
104,89.39
105,90.32
106,89.10
107,88.30
108,87.20
109,90.92
110,89.72
111,88.46
112,88.03
113,88.66
114,89.43
115,89.05
116,92.09
117,87.97
118,87.75
119,86.81
120,86.81
121,87.35
122,87.53
123,87.42
124,87.66
125,89.09
126,86.24
127,89.24
128,88.05
129,93.70
130,89.01
131,88.41
132,89.65
133,90.29
134,89.56
135,86.87
136,85.95
137,86.13
138,90.01
139,88.10
140,87.22
141,87.11
142,88.91
143,89.02
144,89.23
145,86.72
146,0.00
147,87.55
148,88.63
149,88.42
150,88.61
151,88.94
152,88.00
153,88.27
154,89.51
155,90.60
156,85.96
157,84.80
158,83.03
159,85.98
160,84.54
161,86.52
162,83.50
163,87.03
164,86.58
165,86.82
166,87.43
167,86.63
168,85.09
169,86.43
170,86.20
171,0.00
172,85.26
173,85.71
174,87.32
175,87.11
176,88.87
177,87.45
178,84.78
179,86.81
180,86.00
181,86.14
182,85.10
183,85.10
184,88.87
185,86.76
186,86.28
187,84.96
188,86.00
189,85.98
190,84.06
191,86.19
192,84.91
193,84.95
194,92.03
195,88.24
196,88.45
197,88.48
198,87.19
199,87.45
200,86.62
201,87.27
202,86.02
203,87.59
204,88.27
205,87.41
206,87.21
207,87.00
208,87.40
209,88.28
210,87.55
211,90.12
212,88.61
213,88.26
214,89.23
215,88.61
216,87.82
217,89.24
218,89.29
219,88.43
220,88.33
221,87.74
222,87.56
223,88.35
224,88.24
225,89.41
226,87.43
227,88.64
228,88.92
229,87.79
230,88.56
231,85.62
232,89.41
233,88.59
