#--------------------------------------------------
# info: pedestal
# columns: channel, pedestal
#--------------------------------------------------
0,89.15
1,87.80
2,87.92
3,85.49
4,87.52
5,89.55
6,87.16
7,88.00
8,90.06
9,84.99
10,88.59
11,86.22
12,89.39
13,88.65
14,87.26
15,86.86
16,88.40
17,88.38
18,90.08
19,88.21
20,87.52
21,86.22
22,90.73
23,88.28
24,88.87
25,88.39
26,89.92
27,89.39
28,89.18
29,89.99
30,90.35
31,91.84
32,87.56
33,89.24
34,95.92
35,88.27
36,88.89
37,86.68
38,88.70
39,84.51
40,81.81
41,85.87
42,82.20
43,84.54
44,85.97
45,86.00
46,83.38
47,83.08
48,81.96
49,85.07
50,85.92
51,82.85
52,84.86
53,84.24
54,87.21
55,84.00
56,84.67
57,84.65
58,85.01
59,84.36
60,86.76
61,86.30
62,84.42
63,84.14
64,84.57
65,85.31
66,86.65
67,82.95
68,88.25
69,87.39
70,84.24
71,87.80
72,94.41
73,83.12
74,85.68
75,84.00
76,87.93
77,84.20
78,87.61
79,90.21
80,89.27
81,91.02
82,89.90
83,104.04
84,89.47
85,88.81
86,90.53
87,91.35
88,91.40
89,91.26
90,87.55
91,90.22
92,89.76
93,90.52
94,90.49
95,89.23
96,90.87
97,90.48
98,89.75
99,90.94
100,93.36
101,88.43
102,86.64
103,90.00
104,91.19
105,91.44
106,89.89
107,89.50
108,88.17
109,91.88
110,90.65
111,90.19
112,88.97
113,88.53
114,90.34
115,90.33
116,92.67
117,88.82
118,88.66
119,87.97
120,87.61
121,88.29
122,88.18
123,87.84
124,88.29
125,89.46
126,86.75
127,89.85
128,89.06
129,94.43
130,89.49
131,89.04
132,90.29
133,91.11
134,89.93
135,87.76
136,86.62
137,87.66
138,90.51
139,89.18
140,87.89
141,87.85
142,89.43
143,89.47
144,90.18
145,87.88
146,0.00
147,88.53
148,89.23
149,89.37
150,89.28
151,90.10
152,89.07
153,88.42
154,90.12
155,91.02
156,86.27
157,85.54
158,83.35
159,86.60
160,84.26
161,87.28
162,84.90
163,88.06
164,87.56
165,87.43
166,87.73
167,87.61
168,85.47
169,87.44
170,86.52
171,0.00
172,85.60
173,86.36
174,87.40
175,88.05
176,89.29
177,87.54
178,85.85
179,86.83
180,86.87
181,86.82
182,85.36
183,85.52
184,89.14
185,87.72
186,87.48
187,86.18
188,85.83
189,86.87
190,84.90
191,86.56
192,85.74
193,86.11
194,92.15
195,89.13
196,89.15
197,88.90
198,87.66
199,88.30
200,87.41
201,87.87
202,86.92
203,87.78
204,88.77
205,87.99
206,87.65
207,87.12
208,87.76
209,88.53
210,88.24
211,90.14
212,88.80
213,89.15
214,89.97
215,88.96
216,88.28
217,89.47
218,89.70
219,89.12
220,88.58
221,88.04
222,87.66
223,88.63
224,88.98
225,90.02
226,87.73
227,88.86
228,89.68
229,88.48
230,88.69
231,86.35
232,89.90
233,88.14
